"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: allocationSize"
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p1.00","sample",16,1,"67371008,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect","sample",16,4277023,"74720,543182","1463,709661","ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.00","sample",16,1,"4536,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.50","sample",16,1,"34048,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.90","sample",16,1,"39680,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.95","sample",16,1,"42688,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.99","sample",16,1,"49152,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.999","sample",16,1,"15990784,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.9999","sample",16,1,"36739167,027222",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p1.00","sample",16,1,"84017152,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect","sample",16,427423,"748986,233871","14604,319918","ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.00","sample",16,1,"91264,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.50","sample",16,1,"353280,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.90","sample",16,1,"381952,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.95","sample",16,1,"429056,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.99","sample",16,1,"16203776,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.999","sample",16,1,"37852020,736000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.9999","sample",16,1,"56625096,294388",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p1.00","sample",16,1,"82182144,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect","sample",16,42683,"7509462,939718","139440,846383","ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.00","sample",16,1,"887808,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.50","sample",16,1,"3612672,000000",NaN,"ns/op",100000
